find me all pyramid shaped blocks	block whose shape is a pyramid and whose shape is a pyramid
select the block that has a width of 3 inches and is below block 1	block whose width is 3 inches and that block 1 is below
choose a block that is not as thick as block 1	block whose width is smaller than length of block 1
3 inches long block at the left of block 1	block that block 1 is right of and whose length is 3 inches
find me all the blocks as tall as block 1	block whose height is height of block 1
find a block with a length of 3 inches that block 1 is above	block whose length is 3 inches and that block 1 is above
find the block that has the most blocks to its right	block that the most number of block is right of
find me all blocks below of which is above block 1	block that is below block 1 and that is above block 1
find me a block with a pyramid shape and has a length of 3 inches	block whose shape is a pyramid and whose length is 3 inches
find me all blocks with height and width equal to 3 inches	block whose height is 3 inches and whose height is 3 inches
find me all blocks whose width is shorter than the height of block 1	block whose width is smaller than height of block 1
which block is to the left of no more than two blocks	block that is left of at most two block
what block is to the right of the 3 inch long block	block that is right of block whose length is 3 inches
block below 2 blocks	block that is below two block
what block is between block 1 and a block to the left of block 1	block that is right of block that is left of block 1
find me all blocks with 2 blocks left of it	block that two block is right of
choose a block that is to the left of block 2	block that less than two block is left of
find a block with less that two blocks above it	block that is below less than two block
find me either block 1 or block 2	block 1 or block 2
which brick has no more than two bricks above it	block that at most two block is above
select a brick to the right of the brick directly below brick 1	block that is right of block that is below block 1
select the blocks to the left of and above block 1	block that block 1 is right of and that is above block 1
block that is right of less than two block	block that is right of less than two block
find me all the blocks below at most 1 blocks	block that is below less than two block
which block is to the left of block 1	block that not is right of block 1
find the blocks to the right and left of block 1	block that block 1 is right of and that block 1 is left of
find a block with a width that is less than the height of block 1	block whose width is smaller than height of block 1
the third block to the right	block that is right of block that is right of block 1
which brick is taller than brick 1	block whose height is larger than height of block 1
how many blocks are there	number of block
the unique 3 inch wide block	block whose width is 3 inches and that is special
find the block with the pyramidshaped block above it	block that is below block whose shape is a pyramid
which brick is the same shape as brick 1	block whose shape is shape of block 1
find the block located beneath the second block that is located to the left of block 1	block that is below block that is left of block 1
block left and below block 1	block that is left of block that block 1 is above
find me all blocks below block 1	block that block 1 is below and that is below block 1
find me all 3 inch tall blocks that block 1 is left of	block that block 1 is left of and whose height is 3 inches
find me all the blocks that is not a pyramid	block whose shape is not a pyramid
select the blocks below block 2	block that is below at least two block
block left from 3 inch block	block that block whose width is 3 inches is right of
what brick is at least as high as brick 1	block whose height is at least height of block 1
select the block to the right of block 1	block that is right of block 1
block whose length is at most width of block 1	block whose length is at most width of block 1
3 inch block left of block 1	block whose length is 3 inches and that block 1 is right of
find the shortest block	block that has the smallest height
find me all blocks that have two shapes	block that has two shape
right of 3 inch block	block that block whose height is 3 inches is left of
find me all the blocks left and below block 1	block that is left of block that is below block 1
find the block that is shaped like a pyramid or a cube	block whose shape is a pyramid or a cube
find a block between block 1 and a block above block 1	block that is below block that is above block 1
3 inch wide block above block 1	block that block 1 is below and whose width is 3 inches
which special block is 3 inches high	block whose height is 3 inches and that is special
find me all blocks below that block 1 is right of	block that block that is below block 1 is right of
find the block that is at least 3 inches long	block whose length is at least 3 inches
choose a block that looks just like block 1	block whose shape is shape of block 1
find a wider block than block 1	block whose width is larger than width of block 1
find me all 3 inch wide blocks that block 1 is above	block whose width is 3 inches and that block 1 is above
find a block that is wider than block 1	block whose width is larger than width of block 1
what block is shorter than block 1	block whose height is smaller than height of block 1
which block is the same color as block 1	block whose color is color of block 1
block above special block	block that block that is special is below
find me a block that is below at most two blocks	block that at most two block is above
choose a block that is 3 inches and shaped like a pyramid	block whose width is 3 inches and whose shape is a pyramid
what block has the most blocks below it	block that is above the most number of block
