find all people that are currently online	person that is logged in and that is logged in
relationship status of student who is not student of brown university	relationship status that is relationship status of student whose university is not brown university
which date did computer science student alice start	start date of student alice whose field of study is computer science
birthplaces of people who studied in fields other than computer science	city that is birthplace of student whose field of study is not computer science
who was hired after alice quit	employee whose start date is smaller than end date of student alice
which people are friends with students who didnt graduate in 2004	person that student whose end date is not 2004 is friends with
what employees have two or fewer job titles	employee that has at most two job title
which university did alice study computer science at	university of student alice whose field of study is computer science
friend of alice who was born in new york	person that is friends with alice and whose birthplace is new york
students finishing with alice	student whose end date is end date of employee alice
what is the job title of alice whose employer is mckinsey	job title of employee alice whose employer is mckinsey
gender of employees not starting in 2004	gender that is gender of employee whose start date is not 2004
employee who shares end date with employee alice	employee whose end date is end date of employee alice
what students began school either after 2004 or 2010	student whose start date is larger than 2004 or 2010
students starting on or after 2004	student whose start date is at least 2004
which students started school latest	student that has the largest start date
find students who have an end date greater than the start date of employee alice	student whose end date is larger than start date of employee alice
people that stopped school in 2004 or 2010	student whose end date is 2004 or 2010
people that started school before 2004	student whose start date is smaller than 2004
what is the relationship status of studetns who started after 2004	relationship status that is relationship status of student whose start date is larger than 2004
people that started school in or before 2004 or in or before 2010	student whose start date is at most 2004 or 2010
employees who share a workplace with alive	employee whose employer is employer of employee alice
what student started on the same day as alice	student whose start date is start date of student alice
who is friends with the person who is 180 cm tall	person that is friends with person whose height is 180 cm
name the friend of alice whose birthplace is new york	person whose birthplace is new york and that alice is friends with
when did alice quit job at mckinsey	end date of employee alice whose employer is mckinsey
find employees starting after 2004	employee whose start date is larger than 2004
what is the gender of students who did not graduate in 2004	gender that is gender of student whose end date is not 2004
person who has been in less then 3 relationships	person that has at most two relationship status
what city were most people born	city that is birthplace of the most number of person
field of study of alice ended in 2004	field of study of student alice whose end date is 2004
what city is the birthplace of students with an end date no later than 2004	city that is birthplace of student whose end date is at most 2004
which student left school after alice quit her job	student whose end date is larger than end date of employee alice
relationship status of student whose start date is before 2004	relationship status that is relationship status of student whose start date is smaller than 2004
people who are th gender of alices friends	gender that is gender of person that alice is friends with
which student left most recently	student that has the largest end date
a student that ends before alice	student whose end date is smaller than end date of employee alice
alice started her job in 2004 when did she leave it	end date of employee alice whose start date is 2004
find the friends of employees that quit in 2004 or later	person that employee whose end date is at least 2004 is friends with
what person has a height of at the most 180 cm	person whose height is at most 180 cm
ppeople who joined studies after alice joined the job	student whose start date is at least start date of employee alice
find people who are friends with alice and born in new york	person that is friends with alice and whose birthplace is new york
list the birthplaces of people who completed their studies before 2004	city that is birthplace of student whose end date is smaller than 2004
people who are 180 cm tall and are software engineers	person whose height is 180 cm and whose job title is software engineer
find people born in 2004 who are 180 cm tall	person whose birthdate is 2004 and whose height is 180 cm
any male who is born in new york	person whose birthplace is new york and whose gender is male
what is thre relationship status of students who started no later than 2004	relationship status that is relationship status of student whose start date is at most 2004
which employee quit the day alice started	employee whose end date is at most start date of student alice
people born before 2004	person whose birthdate is smaller than 2004
what gender represents the least number of people	gender that is gender of the least number of person
what is the number of city	number of city
where were two people both born	city that is birthplace of two person
people that stopped working the same day alice started school	employee whose end date is start date of student alice
people who are friends with alice and male	person whose gender is male and that alice is friends with
employee whose start date is not 2004	employee whose start date is not 2004
whats the gender of the student that befins after 2004	gender that is gender of student whose start date is larger than 2004
find employees friends who started in 2004 or before	person that is friends with employee whose start date is at most 2004
find employees friend with title other than software engineer	person that is friends with employee whose job title is not software engineer
find the students whose end date is either 2004 or 2010	student whose end date is 2004 or 2010
friends of employees finishing before 2004	person that is friends with employee whose end date is at most 2004
what city were the most people born in	city that is birthplace of the most number of person
find the person with the most friends	person that the most number of person is friends with
people that stopped working the same day as alice	employee whose end date is end date of employee alice
