lines using words containing " ope " .	. * \\b [A-Za-z] * ope [A-Za-z] * \\b . *
lines that contain words starting with ' pa ' .	. * \\b pa [A-Za-z] * \\b . *
lines that contain instances of ' ape ' , but only if its one of the first three words.	( [^A-Za-z] * \\b [A-Za-z] + \\b [^A-Za-z] * ) {0,2} [^A-Za-z] * \\b ape \\b . *
lines that have ' sandwich ' but not the word ' ham '	( . * sandwich . * ) & ( ~ ( . * \\b ham \\b . * ) )
lines using ' abc ' after ' def '	. * def . * abc . *
lines that contain at least one word and the number ' 12 '	. * ( . * \\b [A-Za-z] + \\b . * ) & ( . * 12 . * ) . *
lines that contain at least three words and at least one number.	( . * \\b [A-Za-z] [A-Za-z] * \\b . * ) {3} & ( . * [0-9] . * )
lines that have 6 words.	( . * \\b [A-Za-z] + \\b . * ) {6}
lines that contain at least three five letter words	( . * \\b [A-Za-z] {5} \\b . * ) {3}
lines that have ' turn '	. * turn . *
lines that have the letter ' X ' at the end of a word.	. * \\b [A-Za-z] * X \\b . *
lines using words containing " e " before " i " .	. * ( ( \\b [A-Za-z] [A-Za-z] * \\b ) & ( . * e . * i . * ) ) . *
lines utilizing ' ! '	. * \! . *
lines where " TRY " is separated from " LOL " with a comma	. * TRY . * \, . * LOL . * | . * LOL . * \, . * TRY . *
lines that contain words using the letters " ant "	. * \\b [A-Za-z] * ant [A-Za-z] * \\b . *
lines using ' ness ' or ' ed '	. * ( ness|ed ) . *
lines where numbers exist only after a sequence of " ABC " and " XYZ "	( [^0-9] * ) | ( ( ( [^0-9] * ) & ( . * ABC . * ) & ( . * XYZ . * ) ) . * )
lines using ' ss ' between ' a ' and ' le '	. * a . * ss . * le . *
lines that have three characters before the sequence " SBC "	. * . {3}SBC . *
lines where the word " and " appears between the words " sand " and " tide "	. * \\b sand \\b . * \\b and \\b . * \\b tide \\b . * | . * \\b tide \\b . * \\b and \\b . * \\b sand \\b . *
lines beginning with " Therefore "	Therefore . *
lines using the word " going " followed by " d " .	. * \\b going \\b . * d . *
lines containing a word using the letters " tt " .	. * \\b [A-Za-z] * tt [A-Za-z] * \\b . *
lines which have three words.	( . * \\b [A-Za-z] + \\b . * ) {3,}
lines that have two vowels	( . * [AEIOUaeiou] . * ) {2}
lines using a word of 5 letters or less.	. * \\b [A-Za-z] {1,5} \\b . *
lines that contain 2 repetitions of the word " a "	( . * \\b a \\b . * ) {2}
lines that contain the word " bar "	. * \\b bar \\b . *
lines that contain words using " ie "	. * \\b [A-Za-z] * ie [A-Za-z] * \\b . *
lines containing 3 or more vowels and 5 or more words	( . * [AEIOUaeiou] . * ) {3,} & ( . * \\b [A-Za-z] + \\b . * ) {5,}
lines containing the word " country "	. * \\b country \\b . *
lines that contain words starting with ' gu ' .	. * \\b gu [A-Za-z] * \\b . *
lines that have two or more words ending in " a " .	. * ( . * \\b [A-Za-z] * a \\b . * ) {2} . *
lines that begin with a number	[0-9] . *
lines using the letter sequence " ably " followed by a word ending in " ed " .	. * ably . * \\b [A-Za-z] * ed \\b . *
lines with words ending in ' y ' .	. * \\b [A-Za-z] * y \\b . *
lines containing ' k ' , or ' l '	. * ( k|l ) . *
lines that contain words starting with ' de ' .	. * ( ( \\b de . * \\b ) & ( [A-Za-z] + ) ) . *
lines which contain a 3 letter string	. * ( [A-Za-z] {3} ) . *
lines where there is at least one word in which ' e ' follows ' i '	. * ( ( \\b [A-Za-z] [A-Za-z] * \\b ) & ( . * i . * e . * ) ) . *
lines using numbers that show two or more " 0 " .	. * ( . * 0 . * ) {2,} . *
lines that contain a 3 letter word and a 2 letter word.	. * ( . * \\b [A-Za-z] {3} \\b . * ) & ( . * \\b [A-Za-z] {2} \\b . * ) . *
lines that have less than 6 words but more than 3 words.	( [^A-Za-z] * \\b [A-Za-z] + \\b [^A-Za-z] * ) {0,5} & ( . * \\b [A-Za-z] + \\b . * ) {4,}
lines containing ' a ' before ' b '	. * a . * b . *
lines that contain words starting in ' s '	. * \\b ( ( [A-Za-z] [A-Za-z] * ) & ( s . * ) ) \\b . *
lines that start with ' news '	news . *
lines that contain the number " 2005 " and " May " and begin with " Mary " .	( . * 2005 . * ) & ( . * May . * ) & ( Mary . * )
lines using ' life ' or ' lives '	. * ( life|lives ) . *
lines that contain ' dre ' or ' ber '	. * ( dre|ber ) . *
lines that contain at least one vowel in each word.	~ ( . * ( ( \\b [A-Za-z] + \\b ) & ( [^AEIOUaeiou] * ) ) . * )
lines that have words ending with ' ti ' .	. * \\b [A-Za-z] * ti \\b . *
lines using words ending with ' mo ' .	. * ( ( \\b . * mo \\b ) & ( [A-Za-z] + ) ) . *
