what is an ingredient found in no more than two recipes	ingredient that at most two recipe requires
what recipe was posted in either 2004 or 2010	recipe whose posting date is 2004 or 2010
find recipes posted after 2004	recipe whose posting date is larger than 2004
find a meal recipe posted in 2004	meal that recipe whose posting date is 2004 is for
what is the total time required for preparing the dish	total preparation time of recipe
what recipe do you cook for less time than rice pudding	recipe whose cooking time is smaller than cooking time of rice pudding
show me meals with at least two recipes	meal that at least two recipe is for
meal than has rice pudding or quiche	meal that rice pudding or quiche is for
which recipe belongs to less number of cuisines	recipe that has the least number of cuisine
what recipe was posted the earliest	recipe that has the smallest posting date
name ingredients used only in one or two recipes	ingredient that at most two recipe requires
what are the ingredients needed for recipes posted in 2004	ingredient that recipe whose posting date is 2004 requires
show me recipes that require two ingredients	recipe that requires two ingredient
what recipe is cooked in less time than rice pudding	recipe whose cooking time is at most cooking time of rice pudding
what meal has the least recipes	meal that the least number of recipe is for
what recipe has a cooking time lower than that of rice pudding	recipe whose cooking time is smaller than cooking time of rice pudding
list the lunch recipes contains milk	recipe that is for lunch and that requires milk
recipes for least number of meals	recipe that is for the least number of meal
what recipes require the same time or than rice pudding	recipe whose cooking time is at least cooking time of rice pudding
what recipes dont call for milk	recipe that not requires milk
show me recipes posted before 2004 or before 2010	recipe whose posting date is smaller than 2004 or 2010
what recipes posting date is greater than 2004 or 2010	recipe whose posting date is larger than 2004 or 2010
show the first recipe posted	recipe that has the smallest posting date
recipe for three or more meals	recipe that is for at least two meal
which recipe was not posted in 2004	recipe whose posting date is not 2004
which recipe has the shortest ingredient list	recipe that requires the least number of ingredient
show me recipes designed for two meals	recipe that is for two meal
show me the ingredients for rice pudding	ingredient that rice pudding requires
recipes posted till rice pudding is posted	recipe whose posting date is at most posting date of rice pudding
show me recipes posted in or before 2004 or in or before 2010	recipe whose posting date is at most 2004 or 2010
what day was rice pudding posted	posting date of rice pudding
which  recipe takes as much time to prepare as rice pudding	recipe whose preparation time is preparation time of rice pudding
what is a recipe with the most ingredients	recipe that has the most number of cuisine
for what meal are there the fewest number of recipes	meal that the least number of recipe is for
average cooking time	average cooking time of recipe
what recipes take more time to prepare than rice pudding	recipe whose cooking time is larger than preparation time of rice pudding
what recipes posting date is in 2004	meal that recipe whose posting date is 2004 is for
show me recipes posted before 2010	recipe whose posting date is at most 2004 or 2010
show me lunch recipes that need milk	recipe that requires milk and that is for lunch
recipes posted after 2003	recipe whose posting date is at least 2004 or 2010
which recipe falls under the least kinds of cuisine	recipe that has the least number of cuisine
two cuisine recipe	recipe that has two cuisine
show the recipe that takes the longest time to cook	recipe that has the largest cooking time
what recipe is cooked faster than rice pudding	recipe whose cooking time is smaller than cooking time of rice pudding
which recipe was posted most recently	recipe that has the largest posting date
show me ingredients required for the most recipes	ingredient that the most number of recipe requires
which ingredient is needed in more than one recipes	ingredient that at least two recipe requires
show me two recipes for a meal	meal that two recipe is for
recipe of cuisine of rice pudding	recipe whose cuisine is cuisine of rice pudding
what recipe can be used for at least two meals	recipe that is for at least two meal
what recipe needs milk and is for lunch	recipe that requires milk and that is for lunch
what is the recipe that needs the minimum number of ingredients	recipe that requires the least number of ingredient
which recipe uses milk as an ingredient	recipe that requires milk
which recipes have less than two cuisines	recipe that has less than two cuisine
how many ingredients are needed	number of ingredient
what recipes share at least two ingredients	ingredient that at least two recipe requires
show me recipes posted 2004 and earlier	recipe whose posting date is at most 2004
what recipe can you prep in the same or more time as it takes to cook rice pudding	recipe whose preparation time is at least cooking time of rice pudding
what are the ingredients of rice pudding or quiche	ingredient that rice pudding or quiche requires
what recipe has one cuisine	recipe that has less than two cuisine
show me recipes posted before any posting for rice pudding	recipe whose posting date is smaller than posting date of rice pudding
show me recipes that whose preparation time is shorter than rice puddings cooking time	recipe whose preparation time is smaller than cooking time of rice pudding
show me meals with two recipes	meal that two recipe is for
recipes cooking time	total cooking time of recipe
recipe whose posting date is at least rice puddings posting date	recipe whose posting date is at least posting date of rice pudding
what recipe requires fewer than two ingredients	recipe that requires less than two ingredient
find a lunch recipe that was posted in 2004	recipe that is for lunch and whose posting date is 2004
what meal can you find at least two recipes for	meal that at least two recipe is for
show me recipes for the most cuisines	recipe that has the most number of cuisine
how long does it take to prepare rice pudding	preparation time of rice pudding
which recipe has a cooking time as that of rice pudding	recipe whose cooking time is at least preparation time of rice pudding
find a recipe that takes the same time to cook as rice pudding	recipe whose preparation time is preparation time of rice pudding
what recipe was posted last	recipe that has the largest posting date
what recipes share ingredients	ingredient that two recipe requires
for what meal is rice pudding	meal that rice pudding is for and that rice pudding is for
show me recipes posted in 2004	recipe whose posting date is 2004
show me recipes for lunch posted in 2004	recipe that is for lunch and whose posting date is 2004
what is the average preparation time of that recipe	average preparation time of recipe
show me the recipe that has the most number of requirements	recipe that requires the most number of ingredient
show recipes posted on dates between 2004 and 2010	recipe whose posting date is smaller than 2004 or 2010
which recipe has less cooking time like rice pudding	recipe whose cooking time is at least cooking time of rice pudding
which recipe has the shortest preparation time	recipe that has the smallest preparation time
what meal can be made by two recipes	meal that two recipe is for
for which meal is that recipe that has milk as one of its ingredients	meal that recipe that requires milk is for
list recipes that require milk	ingredient that recipe that requires milk requires
recipes without milk	recipe that not requires milk
what recipe posted in 2004 requires milk as an ingredient	recipe whose posting date is 2004 and that requires milk
what recipes cooking time is at lowest that of rice pudding	recipe whose cooking time is at least cooking time of rice pudding
show recipes whose posted date is on or before 2004	recipe whose posting date is at most 2004
ingredients in recipe posted in 2004	ingredient that recipe whose posting date is 2004 requires
meal with milk recipe	meal that recipe that requires milk is for
show me recipes that require lesser cooking time than rice pudding	recipe whose cooking time is smaller than preparation time of rice pudding
find me the recipes need more than one ingredients	recipe that requires at least two ingredient
how many meals are there	number of meal
show me recipes that take the same time to prepare as rice pudding	recipe whose preparation time is preparation time of rice pudding
what is an ingredient used in more than two recipes	ingredient that more than two recipe requires
what recipe requires the ingredients of rice pudding	recipe that requires ingredient that rice pudding requires
show recipes that does not have milk as one of its ingredients	recipe that not requires milk
find the lunch recipes posted in 2004	recipe whose posting date is 2004 and that is for lunch
what ingredient is not required to make rice pudding	ingredient that rice pudding not requires
what is an ingredient found in a lunch recipe	ingredient that recipe that is for lunch requires
