lines which do not contain the letter " e " .	~ ( . * e . * )
lines that contain only the letters " agde " .	agde
lines using words ending in " er " .	. * \\b [A-Za-z] * er \\b . *
lines which contain only lowercase letters.	[a-z] *
lines that contain the word " dance "	. * \\b dance \\b . *
lines which have ' bar '	. * bar . *
lines using a word that ends in " spoon "	. * \\b ( ( [A-Za-z] + ) & ( . * spoon ) ) \\b . *
lines that include three capital letters	( . * [A-Z] . * ) { 3 }
lines using words that begin with " z " .	. * \\b z [A-Za-z] * \\b . *
lines that have at least 5 numbers.	( . * [0-9] . * ) { 5 , }
lines that ends with letter ' f '	. * f
lines using a word that contains the letters " der "	. * \\b [A-Za-z] * der [A-Za-z] * \\b . *
lines using only three words	( ( [^A-Za-z] ) * \\b [A-Za-z] + \\b ( [^A-Za-z] ) * ) { 3 }
lines starting with ' uu ' followed by words starting with ' z ' .	uu . * \\b z [A-Za-z] * \\b . *
lines that have 2 words using 4 letters	( . * \\b [A-Za-z] { 4 } \\b . * ) { 2 }
lines that have words ending in ' ing '	. * \\b [A-Za-z] * ing \\b . *
lines that contain the number " 254 " at least twice.	( . * 254 . * ) { 2 }
lines containing the word ' art '	. * \\b art \\b . *
lines with a word ending in " aought " that contain only one word	( [^A-Za-z] ) * \\b [A-Za-z] * aought \\b ( [^A-Za-z] ) *
lines which contain only an uppercase letter	[A-Z]
lines that contain at least one numeric in it.	. * [0-9] . *
lines that end in an ' o '	. * o
lines having words ending with ' ne ' .	. * \\b [A-Za-z] * ne \\b . *
lines that contain the numbers " 9 " , and " 10 "	. * ( 9 . * 10 | 10 . * 9 ) . *
lines with the word ' Triple ' followed by words that start with ' X '	. * \\b Triple \\b . * \\b X [A-Za-z] * \\b . *
lines that utilize words starting with ' do ' .	. * ( ( [A-Za-z] + ) & ( \\b do . * \\b ) ) . *
lines using ' q ' before ' r '	. * q . * r . *
lines containing a word using the letters " tt " .	. * \\b [A-Za-z] * tt [A-Za-z] * \\b . *
lines using more than 1 character	. * . { 2 , } . *
lines containing a word using " ause "	. * \\b [A-Za-z] * ause [A-Za-z] * \\b . *
lines that contain at least three words and at least one number.	( . * \\b [A-Za-z] [A-Za-z] * \\b . * ) { 3 } & ( . * [0-9] . * )
lines that contain numbers	. * [0-9] . *
lines using the word " going " followed by " d " .	. * \\b going \\b . * d . *
lines that have ' sandwich ' but not the word ' ham '	( . * sandwich . * ) & ( ~ ( . * \\b ham \\b . * ) )
lines containing words starting with " t " .	. * ( ( \\b t . * \\b ) & ( [A-Za-z] + ) ) . *
lines that contain words ending in ' g '	. * \\b ( ( [A-Za-z] [A-Za-z] * ) & ( . * g ) ) \\b . *
lines using the word " piggy " and " his mother " .	. * ( . * \\b piggy \\b . * ) & ( . * his _ mother . * )
lines that have 5 characters and no vowels.	( . { 5 } ) & ( ~ ( . * [AEIOUaeiou] . * ) )
lines that contain at least one vowel and at least two numbers.	( . * [AEIOUaeiou] . * ) & ( . * [0-9] . * ) { 2 }
lines using at least 3 characters	. * . { 3 } . *
lines that contain the phrase " city of " .	. * ( . * \\b city _ of \\b . * ) . *
lines that use words starting with ' ga ' .	. * \\b ga [A-Za-z] * \\b . *
lines which contain only the number " 3 " .	3
lines that contain words starting with ' pa ' .	. * \\b pa [A-Za-z] * \\b . *
lines that contain only three words.	( ( [^A-Za-z] ) * \\b [A-Za-z] + \\b ( [^A-Za-z] ) * ) { 3 }
lines containing " foo " or " nu " before ' dist ' or ' dust '	. * ( foo | nu ) . * ( dist | dust ) . *
lines where the number ' 0 ' appears	. * 0 . *
lines that feature ' email ' followed by the word " spam " .	. * email . * \\b spam \\b . *
lines that have within them words ending in ' ch ' .	. * \\b [A-Za-z] * ch \\b . *
lines using the word " clue "	. * \\b clue \\b . *
lines that contain ' news ' before ' paper ' or ' show ' .	. * news . * ( paper | show ) . *
lines using ' min ' before ' imal '	. * min . * imal . *
lines that include the string ' rst '	. * rst . *
lines that contain at least two words starting with " h " in them.	( . * \\b h [A-Za-z] * \\b . * ) { 2 }
lines using the word ' An ' at least once.	. * \\b An \\b . *
lines that begin with a number	[0-9] . *
lines that have words ending with ' ti ' .	. * \\b [A-Za-z] * ti \\b . *
lines that do not contain the character " x "	~ ( . * x . * )
lines using words containing " ope " .	. * \\b [A-Za-z] * ope [A-Za-z] * \\b . *
lines that use words starting with ' bi ' .	. * \\b bi [A-Za-z] * \\b . *
lines using ' oon '	. * oon . *
lines using words beginning with the letter " g "	. * \\b g [A-Za-z] * \\b . *
lines that contain 5 words	( . * \\b [A-Za-z] + \\b . * ) { 5 }
lines that have a word beginning with th and a number that begins in " 7 "	( . * \\b th [A-Za-z] * \\b . * ) & ( . * 7 [0-9] * . * )
lines that have all of its letters capitalized.	~ ( . * [a-z] . * )
lines using ' mno ' after ' pqr '	. * pqr . * mno . *
lines where there are two consecutive capital letters	. * [A-Z] [A-Z] . *
lines containing a letter	. * [A-Za-z] . *
lines that contain the word " orange " .	. * \\b orange \\b . *
lines using a word of 5 letters or less.	. * \\b [A-Za-z] { 1 , 5 } \\b . *
lines that have words with ' la ' .	. * \\b [A-Za-z] * la [A-Za-z] * \\b . *
lines that using the symbol ' + ' or ' - ' .	. * ( \ + | - ) . *
lines that contain the word " Hindi " .	. * \\b Hindi \\b . *
lines using words containing " e " before " i " .	. * ( ( \\b [A-Za-z] [A-Za-z] * \\b ) & ( . * e . * i . * ) ) . *
lines that have at least one capital letter.	. * [A-Z] . *
